Flow_Duration,Total_Fwd_Packets,Total_Bwd_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Protocol,Flow_Bytes/s,Flow_Packets/s,Packet_Length_Variance,Label
2.99,166,20,3275,4692,284,349,6,43061.96,192.17,301.92,BruteForce
10.86,97,24,4441,995,707,243,6,9308.33,28.57,371.58,Benign
3.74,51,54,2906,3646,800,291,6,2707.95,136.24,290.59,Benign
7.34,44,33,637,951,637,475,6,1073.43,3.41,256.05,Benign
7.91,24,24,1941,1787,1082,377,6,1658.88,84.37,410.08,Benign
2.04,79,75,3194,2031,1721,479,6,2823.07,143.74,84.35,XSS
34.93,59,72,624,3846,1003,427,6,1751.65,209.37,100.4,Benign
14.92,32,36,3050,2527,541,175,17,2064.92,41.87,989.47,Benign
28.05,96,38,4231,1668,962,392,6,3356.06,172.18,1460.46,Benign
22.52,56,84,4880,4100,1326,27,6,1904.02,882.8,233.65,BruteForce
9.11,435,9,4215,2838,1303,141,17,22707.51,187.37,157.87,DDoS
25.49,62,89,4983,3598,1160,367,6,836.36,13.64,516.41,XSS
0.93,58,99,3947,4013,1241,183,6,7434.12,50.63,262.74,Benign
2.18,52,25,4595,1166,219,109,17,5283.06,159.6,12.86,Benign
0.46,12,93,2801,4480,1466,155,17,40386.42,16.24,84.89,Benign
3.94,39,18,1071,2544,995,205,6,1188.27,26.04,629.34,Benign
4.92,2,82,1266,4207,844,335,17,5072.58,128.1,537.82,Benign
3.17,3,66,2874,3473,683,197,6,34890.6,127.31,13.73,Benign
17.65,56,54,2082,4069,1267,47,6,20062.44,102.48,125.5,Benign
4.41,81,35,953,2646,78,239,6,16986.63,118.4,131.38,Benign
3.3,59,80,2182,853,1015,376,17,2982.75,78.25,557.21,XSS
7.82,2,61,3836,2182,1495,60,6,1874.0,29.01,9.95,Benign
1.52,2,41,3869,2874,388,247,6,11045.6,42.42,54.97,Benign
16.2,92,33,2363,2996,1492,211,6,26503.85,20.04,804.51,XSS
0.77,54,68,3361,4285,1415,430,6,8136.5,239.09,98.34,Benign
43.34,186,33,1248,875,549,466,6,8477.28,18.85,528.85,BruteForce
14.79,96,14,1815,1725,560,164,6,3284.75,51.22,136.02,Benign
2.22,97,21,4877,3169,1400,220,6,14674.74,61.99,52.37,Benign
0.06,1,48,3954,517,266,436,6,2070.78,294.28,968.9,SqlInjection
16.9,19,20,2038,214,1425,231,6,3910.88,16.65,640.55,XSS
12.27,164,8,2760,716,1205,480,6,5541.45,453.5,967.92,BruteForce
13.06,53,7,3224,4074,1143,239,6,7084.85,70.5,886.63,Benign
14.75,44,67,3151,3367,1325,259,6,2776.13,94.53,253.07,Benign
0.77,90,17,104,925,1488,432,17,1219.83,1.83,551.44,Benign
4.44,32,33,4969,1616,494,416,6,9432.0,205.67,114.7,Benign
1.23,438,1,976,3246,925,65,6,3405.63,269.0,173.47,DDoS
19.89,32,76,1091,512,1255,54,6,8704.53,83.27,1133.3,Benign
9.76,465,5,4242,828,216,272,6,1676.65,119.29,6.54,DDoS
4.02,55,86,4464,3448,140,409,6,6561.21,255.75,44.69,Benign
0.66,75,22,4565,2908,763,101,6,7605.47,122.84,116.53,Benign
3.72,56,30,735,775,88,390,6,532.15,16.55,13.45,Benign
3.93,17,38,1793,3565,1199,275,6,4103.84,85.87,5393.92,SqlInjection
13.08,38,51,4544,2604,1107,216,6,1443.49,93.32,437.38,XSS
10.15,24,54,4852,3067,702,322,6,654.72,55.19,145.21,SqlInjection
21.82,121,8,219,2886,803,428,6,46012.01,130.69,1115.93,BruteForce
6.39,108,27,930,1222,1293,469,6,3891.3,64.24,850.35,BruteForce
1.27,70,27,3775,4179,1131,29,6,16600.71,259.79,19.06,SqlInjection
12.49,86,98,1469,1671,525,331,6,2938.89,59.94,150.16,Benign
14.3,11,21,840,2243,505,305,6,11441.41,12.02,238.77,Benign
8.24,16,30,216,1787,878,261,6,14280.66,418.92,446.16,Benign
14.74,264,9,2938,4232,944,270,17,9054.47,182.57,156.03,DDoS
6.81,376,1,1250,3951,1434,384,6,6378.57,13.31,489.28,DDoS
7.4,59,64,2031,3540,1074,24,6,5307.58,253.63,263.32,Benign
5.58,70,97,3372,3866,1893,138,17,4290.43,203.94,401.53,XSS
0.26,202,9,1764,2426,397,308,17,26525.56,73.16,286.46,DDoS
1.14,93,61,1181,3014,239,393,6,17756.07,89.47,174.4,Benign
